Time Box FPS FVS FVT FDS SHD SB PIN WHB WHT CEP BFS BFF BG BMD BML BMS ZL BD MA SG BC ZG PL PS ZM ZS PB BB BO DL DR DC
1.110000e+03 5 1.096622e+04 1.389967e+02 3.271913e+03 3.248283e+03 2.252495e-09 3.401717e-01 6.229685e-17 3.171790e-14 1.647678e+02 3.515727e+04 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 5.124562e+05 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 2.368930e+06 1.860917e+06 3.716876e+07 4.090074e+05 2.289967e+07 3.594567e+06 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 3.303963e-09
1.110000e+03 6 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
1.110000e+03 7 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
1.110000e+03 8 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
1.110000e+03 9 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
1.110000e+03 10 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
1.140000e+03 0 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
1.140000e+03 1 4.756570e+04 3.305593e+04 7.010571e+02 3.280692e+04 5.657315e+03 1.693667e-01 9.121094e+02 1.938378e-14 3.029825e+02 7.190063e+01 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 6.046068e+03 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 1.060313e+04 5.894868e+02 8.014288e+06 8.331008e+03 1.924451e+05 6.514430e+03 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 1.015731e-11
1.140000e+03 2 3.141890e+04 1.631778e+04 5.006063e+02 2.768502e+04 5.493090e+03 1.342709e-01 6.244976e-17 2.553358e-14 2.141988e+02 2.927939e+02 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 1.382973e+04 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 3.737284e+04 1.477554e+05 3.411574e+06 1.063415e+04 4.478581e+05 1.508707e+04 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 3.563500e-11
1.140000e+03 3 3.387712e+04 2.145395e+04 6.695721e+02 3.471011e+04 5.493089e+03 1.849166e-01 6.244976e-17 2.556505e-14 3.034931e+02 2.754696e+02 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 1.230279e+04 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 3.682320e+04 1.116523e+05 3.985587e+06 1.056678e+04 4.644356e+05 1.532116e+04 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 3.498002e-11
